日期,year,month,yearweek,yearday,week,weekend,workday,holiday_type,is_legal_workday,是否节假日,holiday_recess,holiday_name,节假日类型
2025-06-21,2025,6,24,172,5,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-06-22,2025,6,25,173,6,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-06-23,2025,6,25,174,0,0,0,,1,0,0,,普通日
2025-06-24,2025,6,25,175,1,0,0,,1,0,0,,普通日
2025-06-25,2025,6,25,176,2,0,0,,1,0,0,,普通日
2025-06-26,2025,6,25,177,3,0,0,,1,0,0,,普通日
2025-06-27,2025,6,25,178,4,0,0,,1,0,0,,普通日
2025-06-28,2025,6,25,179,5,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-06-29,2025,6,26,180,6,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-06-30,2025,6,26,181,0,0,0,,1,0,0,,普通日
2025-07-01,2025,7,26,182,1,0,0,,1,0,0,,普通日
2025-07-02,2025,7,26,183,2,0,0,,1,0,0,,普通日
2025-07-03,2025,7,26,184,3,0,0,,1,0,0,,普通日
2025-07-04,2025,7,26,185,4,0,0,,1,0,0,,普通日
2025-07-05,2025,7,26,186,5,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-07-06,2025,7,27,187,6,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-07-07,2025,7,27,188,0,0,0,,1,0,0,,普通日
2025-07-08,2025,7,27,189,1,0,0,,1,0,0,,普通日
2025-07-09,2025,7,27,190,2,0,0,,1,0,0,,普通日
2025-07-10,2025,7,27,191,3,0,0,,1,0,0,,普通日
2025-07-11,2025,7,27,192,4,0,0,,1,0,0,,普通日
2025-07-12,2025,7,27,193,5,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-07-13,2025,7,28,194,6,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-07-14,2025,7,28,195,0,0,0,,1,0,0,,普通日
2025-07-15,2025,7,28,196,1,0,0,,1,0,0,,普通日
2025-07-16,2025,7,28,197,2,0,0,,1,0,0,,普通日
2025-07-17,2025,7,28,198,3,0,0,,1,0,0,,普通日
2025-07-18,2025,7,28,199,4,0,0,,1,0,0,,普通日
2025-07-19,2025,7,28,200,5,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-07-20,2025,7,29,201,6,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-07-21,2025,7,29,202,0,0,0,,1,0,0,,普通日
2025-07-22,2025,7,29,203,1,0,0,,1,0,0,,普通日
2025-07-23,2025,7,29,204,2,0,0,,1,0,0,,普通日
2025-07-24,2025,7,29,205,3,0,0,,1,0,0,,普通日
2025-07-25,2025,7,29,206,4,0,0,,1,0,0,,普通日
2025-07-26,2025,7,29,207,5,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-07-27,2025,7,30,208,6,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-07-28,2025,7,30,209,0,0,0,,1,0,0,,普通日
2025-07-29,2025,7,30,210,1,0,0,,1,0,0,,普通日
2025-07-30,2025,7,30,211,2,0,0,,1,0,0,,普通日
2025-07-31,2025,7,30,212,3,0,0,,1,0,0,,普通日
2025-08-01,2025,8,30,213,4,0,0,,1,0,0,,普通日
2025-08-02,2025,8,30,214,5,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-08-03,2025,8,31,215,6,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-08-04,2025,8,31,216,0,0,0,,1,0,0,,普通日
2025-08-05,2025,8,31,217,1,0,0,,1,0,0,,普通日
2025-08-06,2025,8,31,218,2,0,0,,1,0,0,,普通日
2025-08-07,2025,8,31,219,3,0,0,,1,0,0,,普通日
2025-08-08,2025,8,31,220,4,0,0,,1,0,0,,普通日
2025-08-09,2025,8,31,221,5,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-08-10,2025,8,32,222,6,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-08-11,2025,8,32,223,0,0,0,,1,0,0,,普通日
2025-08-12,2025,8,32,224,1,0,0,,1,0,0,,普通日
2025-08-13,2025,8,32,225,2,0,0,,1,0,0,,普通日
2025-08-14,2025,8,32,226,3,0,0,,1,0,0,,普通日
2025-08-15,2025,8,32,227,4,0,0,,1,0,0,,普通日
2025-08-16,2025,8,32,228,5,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-08-17,2025,8,33,229,6,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-08-18,2025,8,33,230,0,0,0,,1,0,0,,普通日
2025-08-19,2025,8,33,231,1,0,0,,1,0,0,,普通日
2025-08-20,2025,8,33,232,2,0,0,,1,0,0,,普通日
2025-08-21,2025,8,33,233,3,0,0,,1,0,0,,普通日
2025-08-22,2025,8,33,234,4,0,0,,1,0,0,,普通日
2025-08-23,2025,8,33,235,5,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-08-24,2025,8,34,236,6,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-08-25,2025,8,34,237,0,0,0,,1,0,0,,普通日
2025-08-26,2025,8,34,238,1,0,0,,1,0,0,,普通日
2025-08-27,2025,8,34,239,2,0,0,,1,0,0,,普通日
2025-08-28,2025,8,34,240,3,0,0,,1,0,0,,普通日
2025-08-29,2025,8,34,241,4,0,0,,1,0,0,,普通日
2025-08-30,2025,8,34,242,5,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-08-31,2025,8,35,243,6,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-09-01,2025,9,35,244,0,0,0,,1,0,0,,普通日
2025-09-02,2025,9,35,245,1,0,0,,1,0,0,,普通日
2025-09-03,2025,9,35,246,2,0,0,,1,0,0,,普通日
2025-09-04,2025,9,35,247,3,0,0,,1,0,0,,普通日
2025-09-05,2025,9,35,248,4,0,0,,1,0,0,,普通日
2025-09-06,2025,9,35,249,5,1,1,holiday,1,1,1,Public Holiday,法定节假日
