商品编码,日期,商品名称,销售数量,销售金额,销售净额,折扣金额,售价,是否促销,平均售价,实际折扣率
4701098,2025-03-30,福荫韧豆腐380g,5.0,24.950000000000003,22.079646020000002,0.0,5.99,0.0,4.99,1.0
4701098,2025-03-31,福荫韧豆腐380g,1.0,4.99,4.415929204,0.0,5.99,0.0,4.99,1.0
4701098,2025-04-01,福荫韧豆腐380g,2.0,9.98,8.831858408,0.0,5.99,0.0,4.99,1.0
4701098,2025-04-02,福荫韧豆腐380g,2.0,9.98,8.831858408,0.0,5.99,0.0,4.99,1.0
4701098,2025-04-03,福荫韧豆腐380g,2.0,9.98,8.831858408,0.0,5.99,0.0,4.99,1.0
4701098,2025-04-04,福荫韧豆腐380g,0.0,0.0,,,5.990000000000002,0.0,,0.0
4701098,2025-04-05,福荫韧豆腐380g,1.0,4.99,4.415929204,0.0,5.99,0.0,4.99,1.0
4701098,2025-04-06,福荫韧豆腐380g,0.0,0.0,,,5.990000000000002,0.0,,0.0
4701098,2025-04-07,福荫韧豆腐380g,4.0,19.96,17.663716816,0.0,5.99,0.0,4.99,1.0
4701098,2025-04-08,福荫韧豆腐380g,1.0,4.99,4.415929204,0.0,5.99,0.0,4.99,1.0
4701098,2025-04-09,福荫韧豆腐380g,2.0,9.98,8.831858408,0.0,5.99,0.0,4.99,1.0
4701098,2025-04-10,福荫韧豆腐380g,3.0,14.97,13.247787612,0.0,5.989999999999999,0.0,4.99,1.0
4701098,2025-04-11,福荫韧豆腐380g,1.0,4.99,4.415929204,0.0,5.99,0.0,4.99,1.0
4701098,2025-04-12,福荫韧豆腐380g,1.0,4.99,4.415929204,0.0,5.99,0.0,4.99,1.0
4701098,2025-04-13,福荫韧豆腐380g,0.0,0.0,,,5.990000000000002,0.0,,0.0
4701098,2025-04-14,福荫韧豆腐380g,1.0,4.99,4.415929204,0.0,5.99,0.0,4.99,1.0
4701098,2025-04-15,福荫韧豆腐380g,1.0,4.99,4.415929204,0.0,5.99,0.0,4.99,1.0
4701098,2025-04-16,福荫韧豆腐380g,1.0,4.99,4.415929204,0.0,5.99,0.0,4.99,1.0
4701098,2025-04-17,福荫韧豆腐380g,2.0,9.98,8.831858408,0.0,5.99,0.0,4.99,1.0
4701098,2025-04-18,福荫韧豆腐380g,2.0,9.98,8.831858408,0.0,5.99,0.0,4.99,1.0
4701098,2025-04-19,福荫韧豆腐380g,3.0,14.97,13.247787612,0.0,5.989999999999999,0.0,4.99,1.0
4701098,2025-04-20,福荫韧豆腐380g,1.0,4.99,3.884955752,0.6,5.99,1.0,4.390000000000001,0.8797595190380761
4701098,2025-04-21,福荫韧豆腐380g,2.0,9.98,8.831858408,0.0,5.99,0.0,4.99,1.0
4701098,2025-04-22,福荫韧豆腐380g,1.0,4.99,4.415929204,0.0,5.99,0.0,4.99,1.0
4701098,2025-04-23,福荫韧豆腐380g,1.0,4.99,4.415929204,0.0,5.99,0.0,4.99,1.0
4701098,2025-04-24,福荫韧豆腐380g,1.0,4.99,4.415929204,0.0,5.99,0.0,4.99,1.0
4701098,2025-04-25,福荫韧豆腐380g,2.0,9.98,8.831858408,0.0,5.99,0.0,4.99,1.0
4701098,2025-04-26,福荫韧豆腐380g,0.0,0.0,,,5.990000000000002,0.0,,0.0
4701098,2025-04-27,福荫韧豆腐380g,0.0,0.0,,,5.990000000000002,0.0,,0.0
4701098,2025-04-28,福荫韧豆腐380g,0.0,0.0,,,5.990000000000002,0.0,,0.0
4701098,2025-04-29,福荫韧豆腐380g,1.0,4.99,4.415929204,0.0,5.99,0.0,4.99,1.0
4701098,2025-04-30,福荫韧豆腐380g,1.0,4.99,4.415929204,0.0,5.99,0.0,4.99,1.0
4701098,2025-05-01,福荫韧豆腐380g,1.0,4.99,4.415929204,0.0,5.99,0.0,4.99,1.0
4701098,2025-05-02,福荫韧豆腐380g,1.0,4.99,4.415929204,0.0,5.99,0.0,4.99,1.0
4701098,2025-05-03,福荫韧豆腐380g,2.0,9.98,8.831858408,0.0,5.99,0.0,4.99,1.0
4701098,2025-05-04,福荫韧豆腐380g,1.0,4.99,4.415929204,0.0,5.99,0.0,4.99,1.0
4701098,2025-05-05,福荫韧豆腐380g,5.0,24.950000000000003,22.079646020000002,0.0,5.99,0.0,4.99,1.0
4701098,2025-05-06,福荫韧豆腐380g,2.0,9.98,8.831858408,0.0,5.99,0.0,4.99,1.0
4701098,2025-05-07,福荫韧豆腐380g,1.0,4.99,4.415929204,0.0,5.99,0.0,4.99,1.0
4701098,2025-05-08,福荫韧豆腐380g,2.0,9.98,8.831858408,0.0,5.99,0.0,4.99,1.0
4701098,2025-05-09,福荫韧豆腐380g,3.0,14.97,13.247787612,0.0,5.989999999999999,0.0,4.99,1.0
4701098,2025-05-10,福荫韧豆腐380g,1.0,4.99,4.415929204,0.0,5.99,0.0,4.99,1.0
4701098,2025-05-11,福荫韧豆腐380g,3.0,14.97,13.247787612,0.0,5.989999999999999,0.0,4.99,1.0
4701098,2025-05-12,福荫韧豆腐380g,1.0,4.99,4.415929204,0.0,5.99,0.0,4.99,1.0
4701098,2025-05-13,福荫韧豆腐380g,0.0,0.0,,,5.990000000000002,0.0,,0.0
4701098,2025-05-14,福荫韧豆腐380g,5.0,24.950000000000003,22.079646020000002,0.0,5.99,0.0,4.99,1.0
4701098,2025-05-15,福荫韧豆腐380g,1.0,4.99,4.415929204,0.0,5.99,0.0,4.99,1.0
4701098,2025-05-16,福荫韧豆腐380g,3.0,14.97,13.247787612,0.0,5.989999999999999,0.0,4.99,1.0
4701098,2025-05-17,福荫韧豆腐380g,0.0,0.0,,,5.990000000000002,0.0,,0.0
4701098,2025-05-18,福荫韧豆腐380g,1.0,4.99,4.415929204,0.0,5.99,0.0,4.99,1.0
4701098,2025-05-19,福荫韧豆腐380g,1.0,4.99,4.415929204,0.0,5.99,0.0,4.99,1.0
4701098,2025-05-20,福荫韧豆腐380g,2.0,9.98,7.769911504,1.2,5.99,1.0,4.390000000000001,0.8797595190380761
4701098,2025-05-21,福荫韧豆腐380g,1.0,4.99,4.415929204,0.0,5.99,0.0,4.99,1.0
4701098,2025-05-22,福荫韧豆腐380g,1.0,4.99,4.415929204,0.0,5.99,0.0,4.99,1.0
4701098,2025-05-23,福荫韧豆腐380g,2.0,9.98,8.831858408,0.0,5.99,0.0,4.99,1.0
4701098,2025-05-24,福荫韧豆腐380g,0.0,0.0,,,5.990000000000002,0.0,,0.0
4701098,2025-05-25,福荫韧豆腐380g,3.0,16.5,14.601769910999998,0.0,5.989999999999999,0.0,5.5,1.0
4701098,2025-05-26,福荫韧豆腐380g,3.0,16.5,14.601769910999998,0.0,5.989999999999999,0.0,5.5,1.0
4701098,2025-05-27,福荫韧豆腐380g,1.0,5.5,4.867256637,0.0,5.99,0.0,5.5,1.0
4701098,2025-05-28,福荫韧豆腐380g,0.0,0.0,,,5.990000000000002,0.0,,0.0
4701098,2025-05-29,福荫韧豆腐380g,4.0,22.0,19.469026548,0.0,5.99,0.0,5.5,1.0
4701098,2025-05-30,福荫韧豆腐380g,4.0,22.0,19.469026548,0.0,5.989999999999999,0.0,5.5,1.0
4701098,2025-05-31,福荫韧豆腐380g,3.0,16.5,14.601769910999998,0.0,5.989999999999999,0.0,5.5,1.0
4701098,2025-06-01,福荫韧豆腐380g,1.0,5.5,4.867256637,0.0,5.99,0.0,5.5,1.0
4701098,2025-06-02,福荫韧豆腐380g,1.0,5.5,4.867256637,0.0,5.99,0.0,5.5,1.0
4701098,2025-06-03,福荫韧豆腐380g,0.0,0.0,,,5.990000000000002,0.0,,0.0
4701098,2025-06-04,福荫韧豆腐380g,1.0,5.5,4.867256637,0.0,5.99,0.0,5.5,1.0
4701098,2025-06-05,福荫韧豆腐380g,1.0,5.5,4.867256637,0.0,5.99,0.0,5.5,1.0
4701098,2025-06-06,福荫韧豆腐380g,1.0,5.5,4.867256637,0.0,5.99,0.0,5.5,1.0
4701098,2025-06-07,福荫韧豆腐380g,2.0,11.0,9.734513274,0.0,5.99,0.0,5.5,1.0
4701098,2025-06-08,福荫韧豆腐380g,0.0,0.0,,,5.990000000000002,0.0,,0.0
4701098,2025-06-09,福荫韧豆腐380g,0.0,0.0,,,5.990000000000002,0.0,,0.0
4701098,2025-06-10,福荫韧豆腐380g,0.0,0.0,,,5.990000000000002,0.0,,0.0
4701098,2025-06-11,福荫韧豆腐380g,0.0,0.0,,,5.990000000000002,0.0,,0.0
4701098,2025-06-12,福荫韧豆腐380g,1.0,5.99,5.300884956,0.0,5.99,0.0,5.99,1.0
4701098,2025-06-13,福荫韧豆腐380g,0.0,0.0,,,5.990000000000002,0.0,,0.0
4701098,2025-06-14,福荫韧豆腐380g,1.0,5.99,5.300884956,0.0,5.99,0.0,5.99,1.0
4701098,2025-06-15,福荫韧豆腐380g,1.0,5.99,5.300884956,0.0,5.99,0.0,5.99,1.0
4701098,2025-06-16,福荫韧豆腐380g,0.0,0.0,,,5.990000000000002,0.0,,0.0
4701098,2025-06-17,福荫韧豆腐380g,0.0,0.0,,,5.990000000000002,0.0,,0.0
4701098,2025-06-18,福荫韧豆腐380g,1.0,5.99,5.300884956,0.0,5.99,0.0,5.99,1.0
4701098,2025-06-19,福荫韧豆腐380g,1.0,5.99,5.300884956,0.0,5.99,0.0,5.99,1.0
4701098,2025-06-20,福荫韧豆腐380g,1.0,5.99,4.663716814,0.72,5.99,1.0,5.2700000000000005,0.8797996661101837
4701098,2025-06-21,福荫韧豆腐380g,12.0,71.88,63.610619465999996,0.0,5.99,0.0,5.989999999999999,1.0
4701098,2025-06-22,福荫韧豆腐380g,1.0,5.99,5.300884956,0.0,5.99,0.0,5.99,1.0
4701098,2025-06-23,福荫韧豆腐380g,0.0,0.0,,,5.990000000000002,0.0,,0.0
4701098,2025-06-24,福荫韧豆腐380g,0.0,0.0,,,5.990000000000002,0.0,,0.0
4701098,2025-06-25,福荫韧豆腐380g,1.0,5.99,5.300884956,0.0,5.99,0.0,5.99,1.0
4701098,2025-06-26,福荫韧豆腐380g,1.0,5.99,5.300884956,0.0,5.99,0.0,5.99,1.0
4701098,2025-06-27,福荫韧豆腐380g,1.0,5.99,5.300884956,0.0,5.99,0.0,5.99,1.0
4701098,2025-06-28,福荫韧豆腐380g,2.0,11.98,10.601769912,0.0,5.99,0.0,5.99,1.0
4701098,2025-06-29,福荫韧豆腐380g,3.0,17.97,15.902654867999999,0.0,5.989999999999999,0.0,5.989999999999999,1.0
4701098,2025-06-30,福荫韧豆腐380g,2.0,11.98,10.601769912,0.0,5.99,0.0,5.99,1.0
4701098,2025-07-01,福荫韧豆腐380g,1.0,5.99,5.300884956,0.0,5.99,0.0,5.99,1.0
4701098,2025-07-02,福荫韧豆腐380g,0.0,0.0,,,5.990000000000002,0.0,,0.0
4701098,2025-07-03,福荫韧豆腐380g,0.0,0.0,,,5.990000000000002,0.0,,0.0
4701098,2025-07-04,福荫韧豆腐380g,0.0,0.0,,,5.990000000000002,0.0,,0.0
4701098,2025-07-05,福荫韧豆腐380g,0.0,0.0,,,5.990000000000002,0.0,,0.0
